final_founding,STATE,DISTRICT_NAME,SCHOOL_NAME,vb_school,char_diff,kshetra,pranta,district,locality,loc2,lon,lat,avg_year
2008,Madhya Pradesh,NEEMUCH,SARSWATI SHISHU MANDIR S.CHAKKI,"SARSWATI SHISHU MANDIR, SEMLYCHANDRAWAT",0.6923077,Vidya Bharti Madhya Kshetra,Malwa,Neemuch,Neemuch,"Neemuch, Neemuch, India",74.8726497,24.4737663,2008
1982,Madhya Pradesh,CHHINDWARA,SARASWATI SHISHU MANDIR DUNGRIYA,"SARSWATI SHISHU MANDIR, SHIVNAGAR COLONY CHHINDWARA",0.5294118,Vidya Bharti Madhya Kshetra,Maha Koshal,Chhindwara,Chhi Ndwara,"Chhi Ndwara, Chhindwara, India",78.9381729,22.057437,1982
1999,Madhya Pradesh,AGAR MALWA,SARASWATI SHISHU MANDIR SHYAMPURA,"SARSWATI SHISHU MANDIR, SHYAMPURA",0.9393939,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Susner,"Susner, Agar Malwa, India",76.1001009,23.9428099,2003.7
1999,Madhya Pradesh,SHAJAPUR,SARASWATI SHISHU MANDIR SHYAMPURA,"SARSWATI SHISHU MANDIR, SILEPUR",0.7878788,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,1999.857142857143
2002,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR CHARGAWAN,"SARSWATI SHISHU MANDIR, SIMARIYASANI",0.75,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2002
1994,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR SINGOUDI,"SARSWATI SHISHU MANDIR, SINGODI",0.90625,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2004.1
1956,Madhya Pradesh,REWA,SARASWATI SHISHU MANDIR SIRMOUR,"SARSWATI SHISHU MANDIR, SIRMOUR",0.9354839,Vidya Bharti Madhya Kshetra,Maha Koshal,Rewa,Sirmour,"Sirmour, Rewa, India",81.36468959999999,24.8352484,1997.3333333333333
2007,Madhya Pradesh,SHAJAPUR,SARSWATI SHISHU MANDIR DABADIYA,"SARSWATI SHISHU MANDIR, SIROLIYA",0.8125,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,2002.1818181818182
1994,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR SINGOUDI,"SARSWATI SHISHU MANDIR, SLIMNABAD",0.7575758,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2003.25
1999,Madhya Pradesh,AGAR MALWA,SARASWATI SHISHU MANDIR SHYAMPURA,"SARSWATI SHISHU MANDIR, SOYATKHURD",0.7941176,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,"Soyat
Kalan","Soyat
Kalan, Agar Malwa, India",76.173009,24.1903403,2004.1538461538462
2000,Madhya Pradesh,AGAR MALWA,SARSWATI SHISHU MANDIR SUWA GAON,"SARSWATI SHISHU MANDIR, SUIGAON",0.875,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Nalkheda,"Nalkheda, Agar Malwa, India",76.00950279999999,23.7138069,2005.4
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, SUNTHI",0.7666667,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Sunthi Mandsor,"Sunthi Mandsor, Mandsaur, India",75.2420722,24.0909996,2000.6190476190477
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, SURI",0.7586207,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Suri,"Suri, Mandsaur, India",75.21654649999999,24.0834121,2000.2307692307693
